epoch,step,d_loss,g_loss,D_real,D_fake
1,1,1.372231,0.666409,0.515404,0.504605
1,2,1.356230,0.650565,0.537598,0.518321
1,3,1.356717,0.647941,0.556324,0.529732
1,4,1.346510,0.653403,0.562383,0.529920
1,5,1.353011,0.661268,0.557184,0.526284
1,6,1.341460,0.669606,0.570859,0.523810
1,7,1.350595,0.669084,0.562140,0.524809
1,8,1.349402,0.662647,0.581094,0.536231
1,9,1.390804,0.687251,0.562188,0.541995
1,10,1.383184,0.697150,0.569869,0.537183
1,11,1.391613,0.686324,0.542684,0.538981
1,12,1.421057,0.674405,0.534578,0.550625
1,13,1.452505,0.680883,0.526399,0.551990
1,14,1.427911,0.699851,0.521865,0.538105
1,15,1.401472,0.715607,0.508593,0.516204
1,16,1.379385,0.731537,0.504115,0.498076
1,17,1.384961,0.737974,0.490690,0.490577
1,18,1.386423,0.730831,0.490962,0.493948
1,19,1.403145,0.713276,0.491195,0.503829
1,20,1.422961,0.693143,0.494974,0.517624
1,21,1.422665,0.694934,0.488268,0.515680
1,22,1.412198,0.710127,0.486214,0.503722
1,23,1.402711,0.718392,0.480046,0.491846
1,24,1.385010,0.726295,0.484199,0.486042
1,25,1.377978,0.733080,0.484685,0.481272
1,26,1.371688,0.739791,0.484592,0.476891
1,27,1.363142,0.749821,0.481648,0.473152
1,28,1.356630,0.762419,0.482608,0.467611
1,29,1.363208,0.771373,0.479702,0.462823
1,30,1.359753,0.773242,0.482391,0.464153
1,31,1.354665,0.768652,0.482837,0.469612
1,32,1.371129,0.758541,0.481590,0.473995
1,33,1.384589,0.738425,0.483572,0.481715
1,34,1.376833,0.725700,0.488901,0.488052
1,35,1.381473,0.721589,0.491761,0.489873
1,36,1.364131,0.723053,0.508993,0.491681
1,37,1.362386,0.713111,0.511521,0.494460
1,38,1.378099,0.684469,0.517114,0.509475
1,39,1.418321,0.660271,0.517981,0.530195
1,40,1.409846,0.652323,0.526158,0.539992
1,41,1.426581,0.659075,0.522564,0.539316
1,42,1.400937,0.668385,0.518681,0.527852
1,43,1.398690,0.676782,0.515099,0.519612
1,44,1.390779,0.683562,0.512349,0.513065
1,45,1.379042,0.688206,0.514278,0.508153
1,46,1.375585,0.692294,0.512089,0.504824
1,47,1.376628,0.697836,0.514559,0.501858
1,48,1.361280,0.702649,0.515364,0.498487
1,49,1.356033,0.708724,0.515002,0.495581
2,1,1.344120,0.716688,0.519688,0.492003
2,2,1.319767,0.735294,0.531551,0.487751
2,3,1.322712,0.753217,0.524402,0.478476
2,4,1.274054,0.790354,0.554133,0.471442
2,5,1.288870,0.802823,0.537696,0.463129
2,6,1.287494,0.774761,0.593980,0.510772
2,7,1.533600,0.774097,0.592847,0.616777
2,8,1.518703,0.833044,0.507113,0.554908
2,9,1.435551,0.770421,0.515718,0.529488
2,10,1.530164,0.690379,0.484286,0.568644
2,11,1.495734,0.711735,0.477846,0.539690
2,12,1.415828,0.729361,0.485806,0.504935
2,13,1.396353,0.735738,0.483792,0.491840
2,14,1.394685,0.728607,0.483106,0.488541
2,15,1.399132,0.720037,0.484869,0.491104
2,16,1.399527,0.709928,0.485114,0.495824
2,17,1.403518,0.705113,0.486663,0.498652
2,18,1.404202,0.704190,0.485581,0.497390
2,19,1.393914,0.708159,0.486902,0.494803
2,20,1.390423,0.712973,0.485671,0.491953
2,21,1.387934,0.717788,0.485508,0.488695
2,22,1.383513,0.721210,0.488570,0.485825
2,23,1.375615,0.725120,0.489378,0.484249
2,24,1.371141,0.729146,0.487091,0.482122
2,25,1.364425,0.733957,0.489270,0.479532
2,26,1.375097,0.737092,0.484784,0.476982
2,27,1.368637,0.736709,0.486866,0.475946
2,28,1.369680,0.736422,0.489336,0.476792
2,29,1.361588,0.734177,0.490928,0.477987
2,30,1.368591,0.733432,0.490980,0.478827
2,31,1.367497,0.733200,0.492414,0.478342
2,32,1.364249,0.735132,0.492402,0.479051
2,33,1.356237,0.737036,0.496131,0.478607
2,34,1.350188,0.742556,0.500019,0.478204
2,35,1.344448,0.738806,0.503227,0.477707
2,36,1.343822,0.729936,0.508773,0.482815
2,37,1.353621,0.709931,0.514757,0.494122
2,38,1.375506,0.673749,0.520386,0.512137
2,39,1.382620,0.663658,0.530148,0.520896
2,40,1.380573,0.664440,0.537790,0.523014
2,41,1.358814,0.664016,0.543476,0.521748
2,42,1.362493,0.665882,0.550206,0.524643
2,43,1.363022,0.666277,0.555454,0.523877
2,44,1.358799,0.664050,0.561680,0.524826
2,45,1.368726,0.663760,0.557043,0.531000
2,46,1.381053,0.671461,0.551703,0.532681
2,47,1.383390,0.676785,0.539404,0.529486
2,48,1.375225,0.687710,0.537457,0.521210
2,49,1.368428,0.695472,0.525123,0.510750
3,1,1.372175,0.714067,0.523996,0.510668
3,2,1.375448,0.708665,0.515962,0.506266
3,3,1.381734,0.715526,0.523240,0.514661
3,4,1.389594,0.655169,0.518567,0.526004
3,5,1.520553,0.661432,0.508065,0.572381
3,6,1.461842,0.700344,0.487904,0.536508
3,7,1.439298,0.711764,0.482130,0.514955
3,8,1.409024,0.731159,0.475679,0.491779
3,9,1.394452,0.737906,0.476252,0.479279
3,10,1.383677,0.744561,0.476111,0.475514
3,11,1.368441,0.752038,0.478264,0.470168
3,12,1.366009,0.764999,0.477932,0.465808
3,13,1.359978,0.777641,0.477549,0.463336
3,14,1.339078,0.792737,0.480353,0.456893
3,15,1.329840,0.818340,0.479077,0.448309
3,16,1.318629,0.835631,0.480872,0.438648
3,17,1.309413,0.865046,0.478199,0.432556
3,18,1.320824,0.878220,0.478430,0.430585
3,19,1.326116,0.854298,0.479481,0.442206
3,20,1.390955,0.740452,0.477854,0.487442
3,21,1.465616,0.693130,0.471364,0.514704
3,22,1.469891,0.669479,0.473540,0.519140
3,23,1.430316,0.678690,0.495840,0.519332
3,24,1.403048,0.680212,0.503079,0.513742
3,25,1.406693,0.685470,0.499014,0.510912
3,26,1.401966,0.689984,0.498328,0.507436
3,27,1.392505,0.691339,0.500805,0.504598
3,28,1.390310,0.690276,0.500992,0.504631
3,29,1.390333,0.694885,0.502293,0.503271
3,30,1.386238,0.698128,0.501419,0.501215
3,31,1.379239,0.701911,0.504090,0.498830
3,32,1.377872,0.703596,0.503589,0.497078
3,33,1.375801,0.707446,0.504655,0.496719
3,34,1.371636,0.709564,0.505066,0.494988
3,35,1.373555,0.712908,0.500056,0.493074
3,36,1.357551,0.719071,0.508519,0.490719
3,37,1.349162,0.731548,0.506817,0.485030
3,38,1.337415,0.741343,0.508998,0.479278
3,39,1.347350,0.741784,0.502044,0.474762
3,40,1.343374,0.740395,0.507008,0.477571
3,41,1.348873,0.733161,0.509508,0.484210
3,42,1.324610,0.744294,0.529188,0.488141
3,43,1.330456,0.741323,0.527341,0.487756
3,44,1.357125,0.721389,0.535726,0.513216
3,45,1.371592,0.745079,0.548143,0.534732
3,46,1.378598,0.797535,0.541723,0.524156
3,47,1.340607,0.784852,0.531625,0.501648
3,48,1.403619,0.730935,0.534109,0.530642
3,49,1.410290,0.680062,0.541187,0.546847
4,1,1.406061,0.676465,0.533366,0.536319
4,2,1.408718,0.694403,0.512211,0.524905
4,3,1.371621,0.711787,0.522639,0.512499
4,4,1.362474,0.728674,0.520676,0.498456
4,5,1.327286,0.747464,0.527269,0.488575
4,6,1.313699,0.767566,0.534387,0.485155
4,7,1.356972,0.770390,0.514818,0.488421
4,8,1.414189,0.763518,0.514802,0.512726
4,9,1.379310,0.752281,0.526855,0.516080
4,10,1.426681,0.758151,0.486614,0.504320
4,11,1.429819,0.770277,0.467788,0.491852
4,12,1.423146,0.779497,0.455643,0.474636
4,13,1.384138,0.794044,0.457096,0.460354
4,14,1.392957,0.801783,0.452580,0.451559
4,15,1.391815,0.804191,0.451651,0.446581
4,16,1.381008,0.803445,0.461038,0.442986
4,17,1.335801,0.831792,0.471137,0.443187
4,18,1.324252,0.858546,0.472620,0.436275
4,19,1.336001,0.866389,0.470164,0.426326
4,20,1.352387,0.818054,0.471390,0.447454
4,21,1.393099,0.729782,0.478532,0.482959
4,22,1.418218,0.680160,0.491546,0.508522
4,23,1.401006,0.674355,0.510693,0.516764
4,24,1.396948,0.675244,0.513183,0.516559
4,25,1.396356,0.677918,0.512452,0.515881
4,26,1.374952,0.683370,0.521768,0.513231
4,27,1.371353,0.686768,0.523510,0.511188
4,28,1.364071,0.690724,0.524826,0.508687
4,29,1.347913,0.695037,0.530444,0.505041
4,30,1.369018,0.695484,0.522996,0.508208
4,31,1.373935,0.702432,0.534325,0.509059
4,32,1.363034,0.705389,0.524947,0.508789
4,33,1.364823,0.709253,0.522804,0.502843
4,34,1.373595,0.712458,0.514715,0.505296
4,35,1.367922,0.712398,0.507250,0.495551
4,36,1.374073,0.720142,0.507778,0.499429
4,37,1.374646,0.729743,0.504388,0.496886
4,38,1.383867,0.734415,0.496436,0.494631
4,39,1.379377,0.742834,0.492606,0.490849
4,40,1.382878,0.746219,0.491418,0.485698
4,41,1.386813,0.762246,0.482604,0.483305
4,42,1.380430,0.774634,0.480585,0.477180
4,43,1.353302,0.801647,0.484817,0.469084
4,44,1.411587,0.779963,0.456159,0.461916
4,45,1.396117,0.752035,0.469815,0.473066
4,46,1.391780,0.739194,0.468813,0.470800
4,47,1.381929,0.727376,0.481599,0.482674
4,48,1.414775,0.722140,0.475189,0.488209
4,49,1.390471,0.718488,0.487774,0.492305
5,1,1.393182,0.719773,0.486209,0.493074
5,2,1.378154,0.722903,0.493346,0.489640
5,3,1.369043,0.734031,0.493601,0.482579
5,4,1.362867,0.743236,0.494918,0.478581
5,5,1.349701,0.751866,0.497739,0.473880
5,6,1.343471,0.764029,0.498849,0.467958
5,7,1.335936,0.783153,0.501077,0.467344
5,8,1.326351,0.810521,0.497121,0.460353
5,9,1.322284,0.801620,0.490044,0.459466
5,10,1.372394,0.765455,0.477745,0.468691
5,11,1.426852,0.714560,0.471435,0.492416
5,12,1.411218,0.695481,0.489416,0.499451
5,13,1.400989,0.683539,0.500696,0.510529
5,14,1.403483,0.694913,0.502842,0.507614
5,15,1.389892,0.705466,0.494236,0.503371
5,16,1.385068,0.702188,0.506149,0.502064
5,17,1.399866,0.717256,0.498574,0.502622
5,18,1.379122,0.713830,0.498152,0.494533
5,19,1.377972,0.726356,0.492738,0.489686
5,20,1.351443,0.742813,0.504840,0.486194
5,21,1.371693,0.749178,0.490434,0.476336
5,22,1.354559,0.758494,0.491341,0.471382
5,23,1.400139,0.746610,0.473072,0.467238
5,24,1.374144,0.737800,0.488595,0.479068
5,25,1.349277,0.747944,0.512409,0.487252
5,26,1.340656,0.781488,0.501061,0.473769
5,27,1.358084,0.761475,0.493901,0.468218
5,28,1.401370,0.760258,0.484793,0.487154
5,29,1.388699,0.723154,0.493484,0.491227
5,30,1.434916,0.716192,0.481052,0.509598
5,31,1.411103,0.744347,0.480705,0.494013
5,32,1.385055,0.765553,0.477788,0.478597
5,33,1.372750,0.787253,0.475395,0.467813
5,34,1.357651,0.786375,0.485509,0.449410
5,35,1.367048,0.776675,0.477466,0.461970
5,36,1.350794,0.758857,0.494745,0.471550
5,37,1.381766,0.750204,0.500988,0.495860
5,38,1.368963,0.745964,0.506043,0.495705
5,39,1.387756,0.760620,0.507606,0.506668
5,40,1.413490,0.783918,0.484264,0.494494
5,41,1.403970,0.783383,0.463611,0.478495
5,42,1.424546,0.800438,0.442583,0.461863
5,43,1.393047,0.800960,0.445217,0.456586
5,44,1.389619,0.802564,0.451570,0.455404
5,45,1.391635,0.785649,0.451263,0.450996
5,46,1.365529,0.789041,0.460342,0.452179
5,47,1.362541,0.783765,0.467588,0.450861
5,48,1.387875,0.775370,0.466988,0.450768
5,49,1.346226,0.765758,0.487072,0.462517
6,1,1.350431,0.749734,0.495955,0.468781
6,2,1.361778,0.737504,0.496441,0.480617
6,3,1.354305,0.738071,0.508886,0.489686
6,4,1.372865,0.722319,0.511255,0.501697
6,5,1.361194,0.700448,0.521728,0.502966
6,6,1.365785,0.680572,0.539567,0.519249
6,7,1.388375,0.672223,0.550410,0.540676
6,8,1.392472,0.689039,0.549276,0.534047
6,9,1.342838,0.714075,0.554149,0.515988
6,10,1.327665,0.732988,0.535681,0.498098
6,11,1.311161,0.727263,0.549626,0.491815
6,12,1.342760,0.733184,0.536193,0.499623
6,13,1.288473,0.731980,0.585145,0.504619
6,14,1.318988,0.759042,0.597466,0.519959
6,15,1.330581,0.807709,0.556061,0.501262
6,16,1.330393,0.816117,0.522761,0.486150
6,17,1.407435,0.803360,0.478868,0.479818
6,18,1.363803,0.869013,0.474052,0.470143
6,19,1.378993,0.914272,0.432044,0.422548
6,20,1.355226,0.936189,0.417891,0.392886
6,21,1.418196,0.874974,0.405014,0.385343
6,22,1.371991,0.831691,0.430709,0.410741
6,23,1.342594,0.821920,0.449602,0.429147
6,24,1.358443,0.805981,0.460965,0.437596
6,25,1.339654,0.798070,0.503266,0.451468
6,26,1.363683,0.768024,0.486561,0.460227
6,27,1.350358,0.708776,0.498982,0.475184
6,28,1.347702,0.648097,0.532613,0.503312
6,29,1.364000,0.670975,0.583565,0.543694
6,30,1.404198,0.689370,0.558617,0.544510
6,31,1.382975,0.736713,0.523257,0.514997
6,32,1.376484,0.745177,0.501341,0.490080
6,33,1.388157,0.761380,0.479750,0.479834
6,34,1.372611,0.778765,0.486085,0.477576
6,35,1.371892,0.783149,0.465273,0.465503
6,36,1.379347,0.759844,0.468882,0.460448
6,37,1.374629,0.747975,0.473500,0.463259
6,38,1.345864,0.766400,0.490333,0.467909
6,39,1.332444,0.756163,0.485742,0.466295
6,40,1.371794,0.769968,0.472758,0.469808
6,41,1.378038,0.781495,0.478022,0.469613
6,42,1.369945,0.774341,0.485464,0.476275
6,43,1.388462,0.760880,0.476280,0.480399
6,44,1.403984,0.729820,0.491495,0.492331
6,45,1.398257,0.735406,0.487491,0.493664
6,46,1.355569,0.709590,0.502508,0.486195
6,47,1.364563,0.698458,0.512351,0.499586
6,48,1.358114,0.701420,0.530147,0.505644
6,49,1.390050,0.718874,0.534504,0.525069
7,1,1.347258,0.730569,0.517712,0.494142
7,2,1.383042,0.779983,0.502356,0.491438
7,3,1.353221,0.788147,0.481829,0.459542
7,4,1.370545,0.800926,0.476097,0.467059
7,5,1.353779,0.814089,0.477210,0.453441
7,6,1.340560,0.812241,0.477039,0.446243
7,7,1.343868,0.802226,0.479219,0.450203
7,8,1.340978,0.793595,0.480394,0.458072
7,9,1.354824,0.768454,0.476874,0.460877
7,10,1.327723,0.774523,0.503536,0.469360
7,11,1.354531,0.774362,0.503699,0.475068
7,12,1.350687,0.768898,0.513263,0.477466
7,13,1.347500,0.781381,0.539567,0.490281
7,14,1.351597,0.730560,0.521989,0.490638
7,15,1.340938,0.694371,0.538289,0.504473
7,16,1.323461,0.704515,0.589402,0.524528
7,17,1.311002,0.759557,0.581226,0.514178
7,18,1.333174,0.794250,0.535127,0.481064
7,19,1.304570,0.802864,0.519225,0.459119
7,20,1.327654,0.831655,0.544582,0.492446
7,21,1.387463,0.940054,0.495896,0.488354
7,22,1.471785,0.859883,0.400307,0.434899
7,23,1.408996,0.868504,0.448222,0.453859
7,24,1.366351,0.929365,0.454764,0.447110
7,25,1.384832,0.886279,0.441273,0.424961
