Epoch,Step,d_loss,g_loss,D_real,D_fake
1,5,1.960830,-0.071678,0.521452,0.511673
2,5,1.968629,-0.131323,0.539919,0.532122
3,5,2.025015,-0.197710,0.544884,0.551078
4,5,2.029603,-0.102368,0.522347,0.529731
5,5,2.001376,-0.034965,0.511699,0.512043
6,5,2.009407,-0.018509,0.505313,0.507665
7,5,2.017957,-0.062055,0.508770,0.513257
8,5,2.002844,-0.030083,0.509970,0.510681
9,5,1.992154,-0.006934,0.506089,0.504128
10,5,2.001129,-0.015030,0.503373,0.503655
11,5,1.995676,0.004001,0.501750,0.500670
12,5,2.006822,-0.007591,0.502292,0.503997
13,5,1.997356,-0.008141,0.502980,0.502319
14,5,2.006375,0.003589,0.499039,0.500633
15,5,1.998580,0.002657,0.499810,0.499455
16,5,1.997460,-0.003797,0.501810,0.501175
17,5,2.002107,-0.003184,0.501373,0.501900
18,5,2.001189,-0.005911,0.501256,0.501554
19,5,2.005453,-0.020196,0.504123,0.505486
20,5,1.987402,-0.000274,0.505876,0.502727
21,5,2.018385,-0.034848,0.506613,0.511208
22,5,2.002478,-0.008720,0.501711,0.502331
23,5,1.998607,-0.001759,0.501680,0.501331
24,5,1.998888,0.005888,0.498532,0.498254
25,5,1.996688,0.007258,0.499818,0.498990
26,5,2.004013,-0.008829,0.501307,0.502310
27,5,2.000565,-0.011851,0.501745,0.501886
28,5,1.997116,-0.002562,0.502072,0.501351
29,5,1.998518,-0.001479,0.501141,0.500771
30,5,1.999628,-0.013714,0.505246,0.505153
31,5,1.998139,0.000598,0.500078,0.499613
32,5,1.997320,-0.012007,0.503323,0.502653
33,5,1.994944,0.003807,0.499850,0.498587
34,5,2.001909,-0.019920,0.505048,0.505526
35,5,2.002214,-0.006808,0.502072,0.502626
36,5,1.990773,0.015492,0.500122,0.497816
37,5,1.990925,0.014684,0.499203,0.496934
38,5,2.033189,-0.030817,0.509388,0.517680
39,5,1.997464,0.011609,0.498179,0.497545
40,5,1.995390,0.005852,0.501859,0.500706
41,5,1.998571,-0.022718,0.506486,0.506129
42,5,1.999652,0.009365,0.498547,0.498460
43,5,2.005509,-0.012776,0.502066,0.503443
44,5,1.997178,-0.038162,0.511375,0.510671
45,5,1.996754,0.026983,0.510292,0.509481
46,5,2.035263,0.016599,0.489029,0.497840
47,5,1.969430,-0.039867,0.514132,0.506494
48,5,1.998734,-0.019679,0.514026,0.513709
49,5,2.005193,0.030392,0.494794,0.496092
50,5,1.995193,-0.027133,0.503643,0.502442
51,5,1.991674,-0.004040,0.510364,0.508286
52,5,2.021591,0.052481,0.493317,0.498713
53,5,1.977812,-0.019092,0.518281,0.512744
54,5,1.995820,0.097653,0.482336,0.481288
55,5,1.937991,0.161517,0.482374,0.466911
56,5,1.992544,-0.231091,0.553762,0.551943
57,5,1.955120,0.214635,0.479806,0.468612
